GAMA ID,Area,Area th=1,Area th=2,Area th=3,Area th=4,Area th=5,Area th=6,Score 1,Score 2,Score 3,Score 4
622497,496,0,0,0,0,0,0,0,0,0,0
323031,560,0,0,0,0,0,0,0,0,0,0
31157,333,0,0,0,0,0,0,0,0,0,0
64373,279,0,0,0,0,0,0,0,0,0,0
54321,409,0,0,0,0,0,0,0,0,0,0
198631,896,0,0,0,0,0,0,0,0,0,0
216898,335,0,0,0,0,0,0,0,0,0,0
106197,320,0,0,0,0,0,0,0,0,0,0
98790,159,0,0,0,0,0,0,0,0,0,0
278763,1064,0,0,0,0,0,0,0,0,0,0
622079,297,0,0,0,0,0,0,0,0,0,0
239151,232,0,0,0,0,0,0,0,0,0,0
362639,903,0,0,0,0,0,0,0,0,0,0
164880,226,0,0,0,0,0,0,0,0,0,0
32485,172,0,0,0,0,0,0,0,0,0,0
568004,2298,0,0,0,0,0,0,0,0,0,0
136715,159,0,0,0,0,0,0,0,0,0,0
77476,135,0,0,0,0,0,0,0,0,0,0
550627,238,0,0,0,0,0,0,0,0,0,0
3873996,386,0,0,0,0,0,0,0,0,0,0
388380,540,0,0,0,0,0,0,0,0,0,0
69987,3284,2952,1962,695,32,0,0,0.21163215590742995,0.13179339945478802,0.09343788063337394,0.03743740695628637
261418,132,0,0,0,0,0,0,0,0,0,0
517162,465,0,0,0,0,0,0,0,0,0,0
569328,92,0,0,0,0,0,0,0,0,0,0
508752,134,0,0,0,0,0,0,0,0,0,0
240602,78,0,0,0,0,0,0,0,0,0,0
492267,810,0,0,0,0,0,0,0,0,0,0
460436,518,0,0,0,0,0,0,0,0,0,0
239661,190,0,0,0,0,0,0,0,0,0,0
371146,1054,0,0,0,0,0,0,0,0,0,0
145461,413,0,0,0,0,0,0,0,0,0,0
209285,246,0,0,0,0,0,0,0,0,0,0
343118,355,0,0,0,0,0,0,0,0,0,0
92897,90,0,0,0,0,0,0,0,0,0,0
544314,121,0,0,0,0,0,0,0,0,0,0
278367,368,0,0,0,0,0,0,0,0,0,0
618952,1193,0,0,0,0,0,0,0,0,0,0
376033,1823,0,0,0,0,0,0,0,0,0,0
262659,152,0,0,0,0,0,0,0,0,0,0
262338,59,0,0,0,0,0,0,0,0,0,0
460378,1780,0,0,0,0,0,0,0,0,0,0
460709,239,0,0,0,0,0,0,0,0,0,0
55884,1355,516,1,20,0,0,0,0.014760147601476014,0.02031277455631699,0.0022878228782287824,0.0024600246002460025
170858,769,0,0,0,0,0,0,0,0,0,0
250878,563,0,0,0,0,0,0,0,0,0,0
695753,85,0,0,0,0,0,0,0,0,0,0
106312,135,0,0,0,0,0,0,0,0,0,0
302159,592,0,0,0,0,0,0,0,0,0,0
569646,130,0,0,0,0,0,0,0,0,0,0
513326,103,0,0,0,0,0,0,0,0,0,0
518522,145,0,0,0,0,0,0,0,0,0,0
