,0
1202,1-482318
1203,1-342672
1204,1-347359
1205,1-16636
1206,1-532729
1207,1-535030
1208,1-456567
1209,1-195239
1210,1-535172
1211,1-523347
1212,1-68837
1213,1-631825
1214,1-327907
1215,1-448992
1216,1-564539
1217,1-8090
1218,1-423781
1219,1-439841
1220,1-27376
1221,1-183694
1222,1-470210
1223,1-56762
1224,1-188055
1225,1-70930
1226,1-415281
1227,1-296277
1228,1-355625
1229,1-484166
1230,1-70479
1231,1-207205
1232,1-318370
1233,1-329769
1234,1-423599
1235,1-253982
1236,1-77639
1237,1-500493
1238,1-66155
1239,1-250717
1240,1-247377
1241,1-633279
1242,1-238608
1243,1-139868
1244,1-559696
1245,1-276457
1246,1-300681
1247,1-566282
1248,1-383264
1249,1-454903
1250,1-587603
1251,1-564486
1252,1-197717
1253,1-349721
1254,1-301851
1255,1-617420
1256,1-414701
1257,1-438357
1258,1-490063
1259,1-458902
1260,1-398581
1261,1-284053
1262,1-546284
1263,1-257827
1264,1-604992
1265,1-512844
1266,1-443323
1267,1-100531
1268,1-199744
1269,1-71820
1270,1-56924
1271,1-533526
1272,1-388640
1273,1-390282
1274,1-385347
1275,1-565573
1276,1-591393
1277,1-444900
1278,1-593430
1279,1-171253
1280,1-60723
1281,1-135506
1282,1-594078
1283,1-499248
1284,1-134737
1285,1-63026
1286,1-456722
1287,1-421536
1288,1-374773
1289,1-456305
1290,1-317062
1291,1-221055
1292,1-1353
1293,1-272361
1294,1-29246
1295,1-125569
1296,1-494379
1297,1-154217
1298,1-286122
1299,1-142194
1300,1-75982
1301,1-511833
1302,1-286307
1303,1-125128
1304,1-640773
1305,1-403857
1306,1-224752
1307,1-361017
1308,1-384809
1309,1-425348
1310,1-638728
1311,1-584619
1312,1-567140
1313,1-558184
1314,1-215247
1315,1-341909
1316,1-611622
1317,1-83280
1318,1-178745
1319,1-272175
1320,1-37341
1321,1-153993
1322,1-341700
1323,1-337125
1324,1-231056
1325,1-344707
1326,1-126292
1327,1-546894
1328,1-584800
1329,1-122119
1330,1-426038
1331,1-280382
1332,1-362217
1333,1-482802
1334,1-410827
1335,1-322035
1336,1-425287
1337,1-505872
1338,1-37018
1339,1-88304
1340,1-7842
1341,1-384246
1342,1-498420
1343,1-471871
1344,1-135075
1345,1-146863
1346,1-589241
1347,1-537309
1348,1-40778
1349,1-295095
1350,1-422699
1351,1-538040
1352,1-325834
1353,1-244673
1354,1-117437
1355,1-414753
1356,1-535511
1357,1-352409
1358,1-593648
1359,1-77490
1360,1-58638
1361,1-525802
1362,1-163876
1363,1-548461
1364,1-476897
1365,1-559041
1366,1-40484
1367,1-137579
1368,1-425526
1369,1-244366
1370,1-388719
1371,1-177236
1372,1-126228
1373,1-383
1374,1-234244
1375,1-82418
1376,1-94784
1377,1-349309
1378,1-246944
1379,1-386488
1380,1-480356
1381,1-352996
1382,1-370286
1383,1-491963
1384,1-464182
1385,1-455685
1386,1-1243
1387,1-361263
1388,1-336461
1389,1-55225
1390,1-64440
1391,1-96067
1392,1-360244
1393,1-624035
1394,1-168267
1395,1-454597
1396,1-140542
1397,1-303764
1398,1-329801
1399,1-324267
1400,1-295644
1401,1-383546
1402,1-587259
1403,1-574355
1404,1-448580
1405,1-229705
1406,1-462568
1407,1-22542
1408,1-269081
1409,1-16353
1410,1-453500
1411,1-408811
1412,1-38188
1413,1-280648
1414,1-370532
1415,1-399530
1416,1-285176
1417,1-303519
1418,1-402505
1419,1-487130
1420,1-38567
1421,1-550950
1422,1-532566
1423,1-261243
1424,1-134270
1425,1-427339
1426,1-498128
1427,1-258555
1428,1-623655
1429,1-252779
1430,1-448317
1431,1-257910
1432,1-534977
1433,1-162241
1434,1-464964
1435,1-104770
1436,1-322389
1437,1-526064
1438,1-328895
1439,1-465606
1440,1-520665
1441,1-494268
1442,1-152474
1443,1-380038
1444,1-499
1445,1-182996
1446,1-27950
1447,1-522789
1448,1-542724
1449,1-384124
1450,1-168452
1451,1-236309
1452,1-369677
1453,1-374734
1454,1-168368
1455,1-508576
1456,1-516072
1457,1-229070
1458,1-3638
1459,1-376344
1460,1-366814
1461,1-82833
1462,1-151624
1463,1-334773
1464,1-424380
1465,1-238768
1466,1-463071
1467,1-271674
1468,1-117781
1469,1-347788
1470,1-382473
1471,1-188472
1472,1-327578
1473,1-64673
1474,1-7416
1475,1-170463
1476,1-25682
1477,1-241992
1478,1-39947
1479,1-441499
1480,1-87072
1481,1-152118
1482,1-509675
1483,1-422784
1484,1-143606
1485,1-447876
1486,1-548300
1487,1-390086
1488,1-294327
1489,1-173641
1490,1-329620
1491,1-444361
1492,1-350067
1493,1-111465
1494,1-259742
1495,1-458396
1496,1-41876
1497,1-247774
1498,1-547737
1499,1-144495
1500,1-422911
1501,1-90685
1502,1-92028
1503,1-341049
1504,1-43933
1505,1-166739
1506,1-333686
1507,1-378276
1508,1-195325
1509,1-231821
1510,1-64051
1511,1-38612
1512,1-252632
1513,1-373057
1514,1-535219
1515,1-312863
1516,1-35300
1517,1-545611
1518,1-46266
1519,1-496259
1520,1-568508
1521,1-144319
1522,1-435486
1523,1-48223
1524,1-195619
1525,1-44618
1526,1-152806
1527,1-560659
1528,1-186001
1529,1-237921
1530,1-301424
1531,1-232209
1532,1-411229
1533,1-42455
1534,1-618679
1535,1-327885
1536,1-428089
1537,1-213422
1538,1-618461
1539,1-43148
1540,1-61982
1541,1-347724
1542,1-69643
1543,1-593892
1544,1-135911
1545,1-270677
1546,1-79764
1547,1-520063
1548,1-105771
1549,1-526565
1550,1-509766
1551,1-101166
1552,1-102958
1553,1-249548
1554,1-219745
1555,1-105347
1556,1-627570
1557,1-123273
1558,1-421826
1559,1-574625
1560,1-448222
1561,1-40697
1562,1-297763
1563,1-493795
1564,1-130181
1565,1-458223
1566,1-276338
1567,1-143154
1568,1-505765
1569,1-144889
1570,1-538597
1571,1-592826
1572,1-212820
1573,1-125117
1574,1-229977
1575,1-521245
1576,1-100010
1577,1-464869
1578,1-75824
1579,1-605853
1580,1-516818
1581,1-361854
1582,1-495293
1583,1-506845
1584,1-127285
1585,1-166383
1586,1-494176
1587,1-635285
1588,1-404609
1589,1-343821
1590,1-155742
1591,1-306306
1592,1-411692
1593,1-473566
1594,1-50949
1595,1-568421
1596,1-222898
1597,1-386836
1598,1-593798
1599,1-325522
1600,1-591083
1601,1-44180
1602,1-333410
1603,1-245531
1604,1-395443
1605,1-266142
1606,1-274545
1607,1-165058
1608,1-605050
1609,1-623568
1610,1-422811
1611,1-318886
1612,1-464749
1613,1-400403
1614,1-441521
1615,1-125965
1616,1-256293
1617,1-203688
1618,1-350204
1619,1-255427
1620,1-594123
1621,1-427127
1622,1-64059
1623,1-522145
1624,1-151202
1625,1-247861
1626,1-576555
1627,1-574810
1628,1-131925
1629,1-233225
1630,1-47291
1631,1-313179
1632,1-340213
1633,1-30960
1634,1-456894
1635,1-401748
1636,1-246633
1637,1-196720
1638,1-278753
1639,1-581845
1640,1-469420
1641,1-400373
1642,1-517809
1643,1-455367
1644,1-67758
1645,1-443646
1646,1-294835
1647,1-450714
1648,1-341143
1649,1-100349
1650,1-211925
1651,1-73667
1652,1-175098
1653,1-150589
1654,1-360565
1655,1-402126
1656,1-55616
